product_name,norm_name,source,deal_count,created_at
"Heera Chia Seeds 100gm","heera chia seeds 100gm","inactive",2,"2026-04-17 10:01:11"
"Heera Chilli Whole – (Long) 50g","heera chilli whole – (long) 50g","inactive",2,"2026-04-17 10:01:11"
"Heera Curry Leaves 20gm","heera curry leaves 20gm","inactive",2,"2026-04-17 10:01:11"
"Heera Dill Seeds (Suwa) 100g","heera dill seeds (suwa) 100g","inactive",2,"2026-04-17 10:01:11"
"Heera Garlic Paste 210g","heera garlic paste 210g","inactive",2,"2026-04-17 10:01:11"
"Heera Garlic Powder 100g","heera garlic powder 100g","inactive",2,"2026-04-17 10:01:11"
"Heera Ginger Pure 210g","heera ginger pure 210g","inactive",2,"2026-04-17 10:01:11"
"Heera Jawantry Powder 50g","heera jawantry powder 50g","inactive",2,"2026-04-17 10:01:11"
"Heera Kala Chana 500g","heera kala chana 500g","inactive",2,"2026-04-17 10:01:11"
"Heera Kashmiri Chilli Whole 50g","heera kashmiri chilli whole 50g","inactive",2,"2026-04-17 10:01:11"
"Heera Neem Powder 100g","heera neem powder 100g","inactive",2,"2026-04-17 10:01:11"
"Heera Rajagaro Flour (Amaranth Flour) – 400g","heera rajagaro flour (amaranth flour) – 400g","inactive",2,"2026-04-17 10:01:11"
"Heera Red Pan Masala Mukhwas 100gm","heera red pan masala mukhwas 100gm","inactive",2,"2026-04-17 10:01:11"
"Heera Rice Flour 1.5kg","heera rice flour 1.5kg","inactive",2,"2026-04-17 10:01:11"
"Heera Rudraksh Agarbatti 15g","heera rudraksh agarbatti 15g","inactive",2,"2026-04-17 10:01:11"
"Heera Sesame Seeds – Natural 100g","heera sesame seeds – natural 100g","inactive",2,"2026-04-17 10:01:11"
"Heera Soya Chunks 250g","heera soya chunks 250g","inactive",2,"2026-04-17 10:01:11"
"Heera Tukmaria (Basil Seeds) 100g","heera tukmaria (basil seeds) 100g","inactive",2,"2026-04-17 10:01:11"
"Heera Urid Dal split 1kg","heera urid dal split 1kg","inactive",2,"2026-04-17 10:01:11"
"Heera Urid Whole(Black) 1kg","heera urid whole(black) 1kg","inactive",2,"2026-04-17 10:01:11"
"Heera White Pepper Whole 100g","heera white pepper whole 100g","inactive",2,"2026-04-17 10:01:11"
"Heera/uttapam Goond Katira 100g","heera/uttapam goond katira 100g","inactive",2,"2026-04-17 10:01:11"
"Heera: 100g Pista Kernals Plain","heera: 100g pista kernals plain","inactive",2,"2026-04-17 10:01:11"
"Heera: 1kg Butter Ghee","heera: 1kg butter ghee","inactive",2,"2026-04-17 10:01:11"
"Heera: 500g Butter Ghee","heera: 500g butter ghee","inactive",2,"2026-04-17 10:01:11"
"Heera: 500g Tapioca Medium (Sabudana / Sago)","heera: 500g tapioca medium (sabudana / sago)","inactive",2,"2026-04-17 10:01:11"
"Heera: 800g Farali Flour (Fasting Flour)","heera: 800g farali flour (fasting flour)","inactive",2,"2026-04-17 10:01:11"
"Luster’s Pink Oil Moisturizer Lotion Hair Lotion 355ml","luster’s pink oil moisturizer lotion hair lotion 355ml","inactive",2,"2026-04-17 10:01:11"
"Narasu’s Pure Instant Coffee Powder 100g","narasu’s pure instant coffee powder 100g","inactive",2,"2026-04-17 10:01:11"
"10 inch Steel Tongue Drum","10 inch steel tongue drum","inactive",1,"2026-04-17 10:01:12"
"10 Pairs Mink Eyelashes Clear Band","10 pairs mink eyelashes clear band","inactive",1,"2026-04-17 10:01:12"
"10-Piece Paint Brushes Set","10-piece paint brushes set","inactive",1,"2026-04-17 10:01:12"
"101 Inch WiFi Digital Photo Frame IPS Touch Screen","101 inch wifi digital photo frame ips touch screen","inactive",1,"2026-04-17 10:01:12"
"1026-inch Pnd Wireless Carplay Car MP5 Player","1026-inch pnd wireless carplay car mp5 player","inactive",1,"2026-04-17 10:01:12"
"1500mAh Mini Pod Keychain Charger","1500mah mini pod keychain charger","inactive",1,"2026-04-17 10:01:12"
"15W Magnetic Power Bank Wireless","15w magnetic power bank wireless","inactive",1,"2026-04-17 10:01:12"
"15W Magnetic Wireless Mouse Pad Charger","15w magnetic wireless mouse pad charger","inactive",1,"2026-04-17 10:01:12"
"1x Rakhi Bracelet (Bracelet can vary)","1x rakhi bracelet (bracelet can vary)","inactive",1,"2026-04-17 10:01:12"
"2 In 1 Phone Screen Cleaner Spray","2 in 1 phone screen cleaner spray","inactive",1,"2026-04-17 10:01:12"
"2-in-1 Car Cup Warmer & Cooler, 12V","2-in-1 car cup warmer & cooler, 12v","inactive",1,"2026-04-17 10:01:12"
"2-In-1 Smart Watch And Wireless Earbuds","2-in-1 smart watch and wireless earbuds","inactive",1,"2026-04-17 10:01:12"
"2-in-1 USB Heated Hair Comb","2-in-1 usb heated hair comb","inactive",1,"2026-04-17 10:01:12"
"20000 MA  Fast Charge Power Bank","20000 ma  fast charge power bank","inactive",1,"2026-04-17 10:01:12"
"2019 New Fashion Color Bright Glass Watch","2019 new fashion color bright glass watch","inactive",1,"2026-04-17 10:01:12"
"2020 Designer Bamboo Flap HandBag for Women","2020 designer bamboo flap handbag for women","inactive",1,"2026-04-17 10:01:12"
"2020 Top Brand NAKZEN Luxury Men's Watch 30m Waterproof Date Clock Male Sports Watches Men Quartz Wrist Watch Relogio Masculino","2020 top brand nakzen luxury men's watch 30m waterproof date clock male sports watches men quartz wrist watch relogio masculino","inactive",1,"2026-04-17 10:01:12"
"2021 Bluetooth Smart Watch with Blood Pressure Monitoring for Android iOS Smartphones","2021 bluetooth smart watch with blood pressure monitoring for android ios smartphones","inactive",1,"2026-04-17 10:01:12"
"2022 New Novel Surreal Melting Distorted Wall Clocks","2022 new novel surreal melting distorted wall clocks","inactive",1,"2026-04-17 10:01:12"
"2022 New Sports Smart Watch","2022 new sports smart watch","inactive",1,"2026-04-17 10:01:12"
"2023 New Mens Watches LIGE Top Brand Luxury Leather Casual Quartz","2023 new mens watches lige top brand luxury leather casual quartz","inactive",1,"2026-04-17 10:01:12"
"2024 Titan Pro Smart Watch: 2.0-Inch AI Fitness Tracker with Bluetooth Calling & IP68 Waterproof","2024 titan pro smart watch: 2.0-inch ai fitness tracker with bluetooth calling & ip68 waterproof","inactive",1,"2026-04-17 10:01:12"
"24 Pages Coloring Book","24 pages coloring book","inactive",1,"2026-04-17 10:01:12"
"2M Computer Desktop Switch","2m computer desktop switch","inactive",1,"2026-04-17 10:01:12"
"2Pcs Set Diamond Women Watches","2pcs set diamond women watches","inactive",1,"2026-04-17 10:01:12"
"Abalone Shell – 75 to 90 mm","abalone shell – 75 to 90 mm","inactive",1,"2026-04-17 10:01:12"
"Abstract Beige Geometric Canvas Wall Art - Decorative Posters and Prints","abstract beige geometric canvas wall art - decorative posters and prints","inactive",1,"2026-04-17 10:01:12"
"Abstract Colorful Circle Canvas Painting","abstract colorful circle canvas painting","inactive",1,"2026-04-17 10:01:12"
"Abstract Geometric Beige Boho Style Canvas Wall Art Painting","abstract geometric beige boho style canvas wall art painting","inactive",1,"2026-04-17 10:01:12"
"Abstract Horse Painting Knight Canvas Art","abstract horse painting knight canvas art","inactive",1,"2026-04-17 10:01:12"
"Abstract Resin Leopard Statue: Modern Home Office Decoration Gift","abstract resin leopard statue: modern home office decoration gift","inactive",1,"2026-04-17 10:01:12"
"Adisha Khakhra Jeera 200g","adisha khakhra jeera 200g","inactive",1,"2026-04-17 10:01:12"
"Ahmed - 320g Chilli Pickle in oil","ahmed - 320g chilli pickle in oil","inactive",1,"2026-04-17 10:01:12"
"Ajinomotto 454g","ajinomotto 454g","inactive",1,"2026-04-17 10:01:12"
