product_name,norm_name,source,deal_count,created_at
"Athavale’s Multigrain Chakali sticks 200g","athavale’s multigrain chakali sticks 200g","inactive",1,"2026-04-17 10:01:12"
"Athavale’s Patal Poha Chivda 200g","athavale’s patal poha chivda 200g","inactive",1,"2026-04-17 10:01:12"
"Athavale’s Puffed Rice Chivda 200g","athavale’s puffed rice chivda 200g","inactive",1,"2026-04-17 10:01:12"
"Bikano Premium Kaju Pista Cookies","bikano premium kaju pista cookies","inactive",1,"2026-04-17 10:01:12"
"Bindi 32","bindi 32","inactive",1,"2026-04-17 10:01:12"
"Bindi 33","bindi 33","inactive",1,"2026-04-17 10:01:12"
"Bindi 34","bindi 34","inactive",1,"2026-04-17 10:01:12"
"Bindi 35","bindi 35","inactive",1,"2026-04-17 10:01:12"
"Bindi 36","bindi 36","inactive",1,"2026-04-17 10:01:12"
"Bindi 37","bindi 37","inactive",1,"2026-04-17 10:01:12"
"Bindi 38","bindi 38","inactive",1,"2026-04-17 10:01:12"
"Bindi 42 A 9mm","bindi 42 a 9mm","inactive",1,"2026-04-17 10:01:12"
"Bindi 42 B 7mm","bindi 42 b 7mm","inactive",1,"2026-04-17 10:01:12"
"Bindi 42 C 5mm","bindi 42 c 5mm","inactive",1,"2026-04-17 10:01:12"
"Bindi 43 A 4mm","bindi 43 a 4mm","inactive",1,"2026-04-17 10:01:12"
"Bindi 43 B 5mm","bindi 43 b 5mm","inactive",1,"2026-04-17 10:01:12"
"BIO ITALIENISCHES OLIVENÖL NATIV EXTRA 250ml","bio italienisches olivenÖl nativ extra 250ml","inactive",1,"2026-04-17 10:01:12"
"BLACK ROSE KALI MEHANDI | HERBAL BLACK HENNA HAIR COLOR | 5 SACHETS OF 10GM EACH – 50G","black rose kali mehandi | herbal black henna hair color | 5 sachets of 10gm each – 50g","inactive",1,"2026-04-17 10:01:12"
"Black Shoulder Bag","black shoulder bag","inactive",1,"2026-04-17 10:01:12"
"Bling Leather Band for Apple Watch: Series 6, SE, 5/4/3","bling leather band for apple watch: series 6, se, 5/4/3","inactive",1,"2026-04-17 10:01:12"
"Blue Pom Pom with Hanging Topi Toran","blue pom pom with hanging topi toran","inactive",1,"2026-04-17 10:01:12"
"Blue Sky: 1kg Lamb With Bones","blue sky: 1kg lamb with bones","inactive",1,"2026-04-17 10:01:12"
"Bluetooth Call Smart Watch","bluetooth call smart watch","inactive",1,"2026-04-17 10:01:12"
"Bluetooth Dual-Mode Rechargeable Keyboard & Mouse Set","bluetooth dual-mode rechargeable keyboard & mouse set","inactive",1,"2026-04-17 10:01:12"
"Bluetooth Headset","bluetooth headset","inactive",1,"2026-04-17 10:01:12"
"Bluetooth In-Ear Headset","bluetooth in-ear headset","inactive",1,"2026-04-17 10:01:12"
"Bluetooth Sleep Eye Protection Device","bluetooth sleep eye protection device","inactive",1,"2026-04-17 10:01:12"
"Bluetooth Wireless Sports Ultra-long Life Battery Headset","bluetooth wireless sports ultra-long life battery headset","inactive",1,"2026-04-17 10:01:12"
"Blush Urban Decay Hydromaniac Wrecked 15 ml Líquido","blush urban decay hydromaniac wrecked 15 ml líquido","inactive",1,"2026-04-17 10:01:12"
"Board Game Chess Board","board game chess board","inactive",1,"2026-04-17 10:01:12"
"Board Game Tambola","board game tambola","inactive",1,"2026-04-17 10:01:12"
"BOBO BIRD Wooden Men's Watch","bobo bird wooden men's watch","inactive",1,"2026-04-17 10:01:12"
"Body Tattoo A3","body tattoo a3","inactive",1,"2026-04-17 10:01:12"
"Body Tattoo A4","body tattoo a4","inactive",1,"2026-04-17 10:01:12"
"Bolsa Anti-Roubo Wander Plus","bolsa anti-roubo wander plus","inactive",1,"2026-04-17 10:01:12"
"BORWICK’S BICARBONATE OF SODA  – 100g","borwick’s bicarbonate of soda  – 100g","inactive",1,"2026-04-17 10:01:12"
"Boustan Tosya Reis","boustan tosya reis","inactive",1,"2026-04-17 10:01:12"
"Bracelet","bracelet","inactive",1,"2026-04-17 10:01:12"
"Brahmin’s Long Grain Matta Rice 5kg","brahmin’s long grain matta rice 5kg","inactive",1,"2026-04-17 10:01:12"
"Braided Loop Watch Band","braided loop watch band","inactive",1,"2026-04-17 10:01:12"
"Braided Nylon Watch Band","braided nylon watch band","inactive",1,"2026-04-17 10:01:12"
"Braided Solo Loop Nylon Band for Apple Watch Series 3-6 & SE (Sizes: 44mm, 40mm, 38mm, 42mm)","braided solo loop nylon band for apple watch series 3-6 & se (sizes: 44mm, 40mm, 38mm, 42mm)","inactive",1,"2026-04-17 10:01:12"
"Brain Blasterz Bitz XXL - 144g","brain blasterz bitz xxl - 144g","inactive",1,"2026-04-17 10:01:12"
"Brand Luxury Quartz Watch for Men","brand luxury quartz watch for men","inactive",1,"2026-04-17 10:01:12"
"Brandle Vita Rapsol 1Litre","brandle vita rapsol 1litre","inactive",1,"2026-04-17 10:01:12"
"Brasil Gabana Men's Compact Wallet BG117","brasil gabana men's compact wallet bg117","inactive",1,"2026-04-17 10:01:12"
"Brass Aarti Jyot with Long Handle","brass aarti jyot with long handle","inactive",1,"2026-04-17 10:01:12"
"BRASS AGARBATTI STAND – 1Pcs","brass agarbatti stand – 1pcs","inactive",1,"2026-04-17 10:01:12"
"Brass Akhand Diya Jyot - Large Size","brass akhand diya jyot - large size","inactive",1,"2026-04-17 10:01:12"
"Brass Akhand Diya Jyot - Medium Size","brass akhand diya jyot - medium size","inactive",1,"2026-04-17 10:01:12"
"Brass Akhand Diya Jyot - Small Size","brass akhand diya jyot - small size","inactive",1,"2026-04-17 10:01:12"
"Brass Akhand Diya Jyot with Cover","brass akhand diya jyot with cover","inactive",1,"2026-04-17 10:01:12"
"Brass Akhand Diya Jyot with Cover Small","brass akhand diya jyot with cover small","inactive",1,"2026-04-17 10:01:12"
"BRASS AKHAND JYOT DIYA WITH LID – 1Pcs","brass akhand jyot diya with lid – 1pcs","inactive",1,"2026-04-17 10:01:12"
"BRASS FILTER COFFEE MAKER – 1Pcs","brass filter coffee maker – 1pcs","inactive",1,"2026-04-17 10:01:12"
"Brass Home Purifying Incense Burner","brass home purifying incense burner","inactive",1,"2026-04-17 10:01:12"
"Brass Krishna on Jhula","brass krishna on jhula","inactive",1,"2026-04-17 10:01:12"
"Brass Paraat 13cm","brass paraat 13cm","inactive",1,"2026-04-17 10:01:12"
"Brass Paraat 15cm","brass paraat 15cm","inactive",1,"2026-04-17 10:01:12"
"Brass Peacock Fancy Glass","brass peacock fancy glass","inactive",1,"2026-04-17 10:01:12"
"Brass Sarasvati Statue","brass sarasvati statue","inactive",1,"2026-04-17 10:01:12"
"Bronze Vintage Buddha","bronze vintage buddha","inactive",1,"2026-04-17 10:01:12"
"Brown Leather Watch Band","brown leather watch band","inactive",1,"2026-04-17 10:01:12"
"BRUSH powder 1 u","brush powder 1 u","inactive",1,"2026-04-17 10:01:12"
"Brändle Peanut Oil 500ml","brändle peanut oil 500ml","inactive",1,"2026-04-17 10:01:12"
"Bucket Bag","bucket bag","inactive",1,"2026-04-17 10:01:12"
"Bumblebee Leather Backpack","bumblebee leather backpack","inactive",1,"2026-04-17 10:01:12"
"Butterfly Premium Appachatty with Lid with Warranty","butterfly premium appachatty with lid with warranty","inactive",1,"2026-04-17 10:01:12"
"Calia Candlestick Set","calia candlestick set","inactive",1,"2026-04-17 10:01:12"
"Cantu Shea for Natural Hair | Deep Treatment Masque 340g","cantu shea for natural hair | deep treatment masque 340g","inactive",1,"2026-04-17 10:01:12"
"Cantu | Shea Butter | Coconut Curling Cream | Style 340g","cantu | shea butter | coconut curling cream | style 340g","inactive",1,"2026-04-17 10:01:12"
"Cantu | Shea Butter | For Natural Hair | Coil Calm detangler 237ml","cantu | shea butter | for natural hair | coil calm detangler 237ml","inactive",1,"2026-04-17 10:01:12"
"Cantu | Shea Butter | Hair Dressing Pomade 113g","cantu | shea butter | hair dressing pomade 113g","inactive",1,"2026-04-17 10:01:12"
"Cantu | Shea Butter | Moisturizing Curl Activator Cream | For Natural Curls, Coils & Waves | Style 355ml","cantu | shea butter | moisturizing curl activator cream | for natural curls, coils & waves | style 355ml","inactive",1,"2026-04-17 10:01:12"
"Capsule Shape Portable Food Purifier","capsule shape portable food purifier","inactive",1,"2026-04-17 10:01:12"
"Car Foldable Phone Holder","car foldable phone holder","inactive",1,"2026-04-17 10:01:12"
"Car Power Bank Emergency Start Power Supply Inflatable All-in-one Machine 12V","car power bank emergency start power supply inflatable all-in-one machine 12v","inactive",1,"2026-04-17 10:01:12"
"Car Wheel Quartz Watch","car wheel quartz watch","inactive",1,"2026-04-17 10:01:12"
"Carbon Fiber Magnetic Link Band for Apple Watch","carbon fiber magnetic link band for apple watch","inactive",1,"2026-04-17 10:01:12"
"Carbon Fiber Strap For Apple Watch","carbon fiber strap for apple watch","inactive",1,"2026-04-17 10:01:12"
"Carbon Watch Case","carbon watch case","inactive",1,"2026-04-17 10:01:12"
"Carbwallet","carbwallet","inactive",1,"2026-04-17 10:01:12"
"Card & Passport Organizer","card & passport organizer","inactive",1,"2026-04-17 10:01:12"
"Card Holder Wallet","card holder wallet","inactive",1,"2026-04-17 10:01:12"
"CardGuard Leather Phone Case","cardguard leather phone case","inactive",1,"2026-04-17 10:01:12"
"Casio Bumper Watch Accessories - GWG-1000 Wire Cover","casio bumper watch accessories - gwg-1000 wire cover","inactive",1,"2026-04-17 10:01:12"
"Casual Military Square Dial Watch for Men","casual military square dial watch for men","inactive",1,"2026-04-17 10:01:12"
"Casual Stainless Steel Ladies Watch","casual stainless steel ladies watch","inactive",1,"2026-04-17 10:01:12"
"Casual Tote Bag","casual tote bag","inactive",1,"2026-04-17 10:01:12"
"Casual-Style Watch","casual-style watch","inactive",1,"2026-04-17 10:01:12"
"Cat Ears Mouse Pad: 80CM*40CM, Non-Slip, Thicken, Super Cute for Girls","cat ears mouse pad: 80cm*40cm, non-slip, thicken, super cute for girls","inactive",1,"2026-04-17 10:01:12"
"CAVADI (REFINDED CAMPHOR 100 TABLETS) – 1BOX","cavadi (refinded camphor 100 tablets) – 1box","inactive",1,"2026-04-17 10:01:12"
"CENTELLA ASIATICA LEAVES / VALLARAI KEERAI – (1 bunch ~250g)","centella asiatica leaves / vallarai keerai – (1 bunch ~250g)","inactive",1,"2026-04-17 10:01:12"
"Ceramic Electric Hair Brush","ceramic electric hair brush","inactive",1,"2026-04-17 10:01:12"
"Chandan and Rudraksh Rakhi Bracelet","chandan and rudraksh rakhi bracelet","inactive",1,"2026-04-17 10:01:12"
"Charmfixer","charmfixer","inactive",1,"2026-04-17 10:01:12"
"CHEESE NAAN – 1 Pc  WITH NON-VEG COMBO (For 10 Persons)","cheese naan – 1 pc  with non-veg combo (for 10 persons)","inactive",1,"2026-04-17 10:01:12"
